Sample_ID,Genotype,Drought_Stage,Treatment,c__Atractiellomycetes,c__Chytridiomycota_cls_Incertae_sedis,c__Cystobasidiomycetes,c__Dothideomycetes,c__Eurotiomycetes,c__Fungi_cls_Incertae_sedis,c__Leotiomycetes,c__Rozellomycota_cls_Incertae_sedis,c__Sordariomycetes,c__Spizellomycetes,c__Tremellomycetes,c__Ustilaginomycetes
P48,UCR369,R1-Stage,Drought,0.00E+00,9.52E-04,1.07E-04,3.85E-02,0.039095776,0.81627603,2.26E-04,0.00E+00,0.097644259,1.43E-04,0.00E+00,1.43E-04
P49,ES4,R4-Stage,Control,1.03E-04,1.56E-02,0.00E+00,3.18E-03,0.031748568,0.78766576,7.99E-05,3.54E-04,0.147159519,2.62E-04,0.00E+00,1.03E-04
P50,ES4,R4-Stage,Control,0.00E+00,3.87E-02,0.00E+00,2.26E-03,0.001707354,0.907743,1.05E-04,0.00E+00,0.037082522,4.94E-04,0.00E+00,0.00E+00
P51,ES4,R4-Stage,Drought,3.75E-05,3.20E-03,1.13E-04,1.10E-02,0.072927748,0.43125868,6.26E-05,0.00E+00,0.456302174,0.00E+00,0.00E+00,2.17E-03
P52,ES4,R4-Stage,Drought,5.31E-05,2.26E-03,0.00E+00,2.64E-03,0.004398874,0.5138182,1.91E-04,0.00E+00,0.472740796,1.34E-03,5.31E-05,0.00E+00
P53,ES4,R4-Stage,Drought,4.43E-04,1.77E-03,0.00E+00,6.12E-03,0.057118251,0.65416229,0.00E+00,6.33E-05,0.278638281,5.07E-05,0.00E+00,6.46E-04
P54,ES4,R4-Stage,Control,0.00E+00,6.43E-04,0.00E+00,9.43E-02,0.176645327,0.59494883,0.00E+00,0.00E+00,0.132523401,2.18E-04,0.00E+00,0.00E+00
P55,ES4,R4-Stage,Drought,1.62E-04,4.79E-02,0.00E+00,9.78E-03,0.014665222,0.63070157,3.23E-04,1.46E-03,0.277151681,3.80E-03,1.62E-04,4.85E-04
P56,ES4,R4-Stage,Control,0.00E+00,2.17E-03,0.00E+00,2.21E-03,0.021319106,0.80371211,0.00E+00,0.00E+00,0.143693949,0.00E+00,7.95E-05,4.09E-04
P57,UCR369,R4-Stage,Drought,0.00E+00,8.66E-03,0.00E+00,1.24E-02,0.032828579,0.90786667,0.00E+00,2.34E-05,0.03441082,3.87E-04,1.29E-04,8.67E-04
P58,UCR369,R4-Stage,Control,0.00E+00,2.72E-04,0.00E+00,1.69E-03,0.004428593,0.98561593,0.00E+00,0.00E+00,0.007298322,0.00E+00,0.00E+00,0.00E+00
P59,UCR369,R4-Stage,Control,9.02E-05,2.25E-02,6.44E-05,2.55E-02,0.132523603,0.68365126,0.00E+00,0.00E+00,0.116307526,8.50E-04,0.00E+00,9.02E-04
P60,UCR369,R4-Stage,Drought,0.00E+00,3.80E-03,0.00E+00,1.36E-02,0.203226441,0.01796839,0.00E+00,0.00E+00,0.745119899,0.00E+00,0.00E+00,3.06E-04
P61,UCR369,R4-Stage,Control,0.00E+00,2.14E-02,0.00E+00,3.06E-03,0.024774959,0.90704137,0.00E+00,0.00E+00,0.018855588,1.52E-04,0.00E+00,3.54E-03
P62,UCR369,R4-Stage,Drought,0.00E+00,2.05E-04,0.00E+00,2.05E-04,0.000478387,0.29124665,0.00E+00,0.00E+00,0.707796572,0.00E+00,0.00E+00,0.00E+00
P63,UCR369,R4-Stage,Control,0.00E+00,1.61E-02,4.97E-05,2.04E-02,0.018695884,0.62680282,5.47E-04,0.00E+00,0.221841265,2.12E-03,0.00E+00,1.76E-03
P64,UCR369,R4-Stage,Drought,0.00E+00,3.49E-03,0.00E+00,3.72E-02,0.036307678,0.84493451,4.63E-04,0.00E+00,0.070717823,2.55E-04,4.63E-05,0.00E+00
