Sample_ID,Genotype,Drought_Stage,Treatment,g__Achroiostachys,g__Acremonium,g__Albifimbria,g__Aspergillus,g__Atractiella,g__Chytridiomycota_gen_Incertae_sedis,g__Cladosporium,g__Clonostachys,g__Coniochaeta,g__Curvularia,g__Emericellopsis,g__Fungi_gen_Incertae_sedis,g__Fusarium,g__Humicola,g__Knufia,g__Macrophomina,g__Neocosmospora,g__Penicillium,g__Periconia,g__Poaceascoma,g__Pseudeurotium,g__Pseudophialophora,g__Pseudothielavia,g__Purpureocillium,g__Rozellomycota_gen_Incertae_sedis,g__Saitozyma,g__Sakaguchia,g__Scedosporium,g__Spizellomyces,g__Stagonospora,g__Striaticonidium,g__Taifanglania,g__Talaromyces,g__Thecaphora,g__Thermothielavioides,g__Torula,g__Trichoderma,g__Ustilaginaceae_gen_Incertae_sedis,g__Westerdykella,g__Wettsteinina,g__Xenomyrothecium,none
P22,ES4,V4-Stage,Control,0.00E+00,3.70E-05,0.00E+00,0.004436011,0.00E+00,6.70E-02,0.000554501,2.22E-04,2.46E-05,1.11E-03,0.005261601,0.80894349,0.018150677,0.002797151,0.00E+00,1.75E-02,0.000640757,0.014182912,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.020516549,0.000751657,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E-04,0.00E+00,4.93E-05,0,1.31E-03,1.11E-02,8.63E-05,0.00E+00,0.00E+00,4.93E-05,0.00E+00,1.11E-04,0.00E+00,2.50E-02
P23,ES4,V4-Stage,Drought,7.75E-05,3.31E-02,2.33E-04,0.001814375,1.77E-03,2.42E-03,0.019198263,2.26E-02,1.40E-04,2.64E-04,0.000914942,0.01684113,0.237435062,0.000573777,0.00E+00,4.84E-03,0.002388152,0.008001861,0.00E+00,7.75E-04,0.00E+00,0.00E+00,0.003148019,0.000651314,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.20E-04,6.20E-05,0,0.00E+00,1.66E-03,3.72E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.29E-01,1.08E-02
P24,ES4,V4-Stage,Drought,2.76E-04,1.43E-04,1.52E-03,0.002557291,0.00E+00,8.90E-03,0.003439116,3.86E-04,3.31E-04,1.12E-03,0.001642398,0.90049713,0.007076642,0.003009226,5.07E-04,1.65E-03,0,0.005720836,1.87E-04,2.17E-03,0.00E+00,1.07E-03,0.01539886,0.000143297,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E-03,0.00E+00,1.43E-04,0,1.27E-02,0.00E+00,3.31E-04,0.00E+00,6.61E-05,0.00E+00,2.54E-04,3.75E-04,0.00E+00,2.68E-02
P25,UCR369,V4-Stage,Control,0.00E+00,1.31E-04,4.77E-05,0.003342126,0.00E+00,1.41E-02,0.000346149,0.00E+00,1.91E-04,0.00E+00,0,0.95824729,0.002423042,0.002840807,0.00E+00,7.16E-05,0,0.001563638,0.00E+00,7.28E-04,0.00E+00,0.00E+00,0.003903126,0,0.00E+00,0.00E+00,0.00E+00,3.58E-05,1.24E-03,0.00E+00,8.36E-05,0.001002638,7.29E-03,0.00E+00,2.63E-04,0.00E+00,5.97E-05,0.00E+00,1.31E-04,3.58E-05,0.00E+00,1.95E-03
P26,UCR369,V4-Stage,Drought,2.24E-04,1.10E-03,5.61E-04,0.061935098,0.00E+00,2.58E-02,0.003503173,8.23E-04,2.66E-03,1.68E-03,0.012803411,0.77669455,0.005709798,0.005410594,9.23E-04,7.48E-05,0,0.025606822,1.37E-04,4.24E-04,1.05E-03,0.00E+00,0.02096917,0.001520951,1.37E-04,1.25E-04,0.00E+00,3.37E-04,8.55E-03,0.00E+00,3.99E-04,0.00175782,1.27E-03,1.12E-04,1.38E-03,1.62E-04,4.11E-04,2.49E-04,1.02E-03,5.86E-04,0.00E+00,3.39E-02
P27,UCR369,V4-Stage,Control,8.16E-05,4.54E-04,0.00E+00,0.007410083,9.32E-05,1.49E-02,0.000407788,0.00E+00,1.37E-03,3.96E-04,0,0.94019504,0.006396439,0.003332207,1.17E-04,0.00E+00,0,0.004637127,5.83E-05,0.00E+00,5.48E-04,6.41E-04,0,0.001281618,1.28E-04,6.99E-05,0.00E+00,5.94E-04,2.68E-03,0.00E+00,3.50E-04,0.001980683,3.98E-03,0.00E+00,8.62E-04,0.00E+00,4.78E-04,0.00E+00,1.08E-03,3.38E-04,0.00E+00,5.08E-03
P28,UCR369,V4-Stage,Drought,4.30E-04,1.79E-03,0.00E+00,0.10681165,3.11E-04,2.16E-02,0.008044206,0.00E+00,1.16E-03,1.56E-03,0.006622026,0.65352138,0.008977512,0.009555272,4.30E-04,0.00E+00,0.001007378,0.041658025,0.00E+00,1.73E-03,1.91E-03,5.04E-04,0.038472934,0.001274036,1.90E-03,2.37E-04,8.89E-05,1.33E-03,2.71E-02,0.00E+00,5.33E-04,0.001466623,1.86E-02,5.33E-04,2.90E-03,1.45E-03,3.56E-04,0.00E+00,2.53E-03,8.89E-04,0.00E+00,3.28E-02
P29,UCR369,V4-Stage,Control,0.00E+00,2.00E-04,4.21E-05,0.000441956,0.00E+00,4.80E-03,0,0.00E+00,0.00E+00,8.42E-05,0.000505093,0.98775149,0.000242024,0,0.00E+00,0.00E+00,0,0.001673121,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.000452479,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,2.34E-03,0.00E+00,0.00E+00,0.00E+00,1.89E-04,0.00E+00,0.00E+00,0.00E+00,1.28E-03
P30,UCR369,V4-Stage,Drought,0.00E+00,2.30E-04,4.29E-04,0.001894574,0.00E+00,1.20E-03,0.000376821,0.00E+00,0.00E+00,3.87E-04,0.000355887,0.97436568,0.010278848,0.000408223,1.36E-04,3.14E-05,0,0.000900184,0.00E+00,1.26E-04,0.00E+00,0.00E+00,0.005767459,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.42E-05,0.00E+00,0.00E+00,0,3.14E-04,3.04E-04,5.23E-05,0.00E+00,6.28E-05,0.00E+00,4.19E-05,5.23E-05,0.00E+00,2.19E-03
P31,UCR369,V4-Stage,Control,4.09E-04,1.06E-03,1.59E-03,0.008028123,2.62E-04,6.35E-02,0.003711576,6.12E-03,0.00E+00,5.72E-04,0.002763244,0.5794964,0.049493133,0.007913669,2.13E-04,8.18E-05,0.001520602,0.041039895,0.00E+00,2.62E-04,0.00E+00,3.60E-04,0.038423806,0.00264879,8.18E-05,8.18E-05,1.47E-04,0.00E+00,7.85E-04,0.00E+00,9.81E-05,0.007325049,1.36E-02,6.26E-03,3.76E-04,4.58E-04,0.00E+00,1.01E-02,0.00E+00,0.00E+00,0.00E+00,1.51E-01
